timestamp,tile,year1,dayofyear1,hour1,minute1,file1,h1,v1,year2,dayofyear2,hour2,minute2,file2,h2,v2
20190201_0000,h07v09,2019,32,0,0,/nex/datapool/geonex/public/GOES16/GEONEX-L1G/h07v09/2019/032/GO16_ABI05_20190201_0000_GLBG_h07v09_02.hdf,7,9,2019,32,0,0,/nex/datapool/geonex/public/GOES17/GEONEX-L1G/h07v09/2019/032/GO17_ABI05_20190201_0000_GLBG_h07v09_02.hdf,7,9
20190201_0000,h13v09,2019,32,0,0,/nex/datapool/geonex/public/GOES16/GEONEX-L1G/h13v09/2019/032/GO16_ABI05_20190201_0000_GLBG_h13v09_02.hdf,13,9,2019,32,0,0,/nex/datapool/geonex/public/GOES17/GEONEX-L1G/h13v09/2019/032/GO17_ABI05_20190201_0000_GLBG_h13v09_02.hdf,13,9
20190201_0000,h15v14,2019,32,0,0,/nex/datapool/geonex/public/GOES16/GEONEX-L1G/h15v14/2019/032/GO16_ABI05_20190201_0000_GLBG_h15v14_02.hdf,15,14,2019,32,0,0,/nex/datapool/geonex/public/GOES17/GEONEX-L1G/h15v14/2019/032/GO17_ABI05_20190201_0000_GLBG_h15v14_02.hdf,15,14
20190201_0000,h07v15,2019,32,0,0,/nex/datapool/geonex/public/GOES16/GEONEX-L1G/h07v15/2019/032/GO16_ABI05_20190201_0000_GLBG_h07v15_02.hdf,7,15,2019,32,0,0,/nex/datapool/geonex/public/GOES17/GEONEX-L1G/h07v15/2019/032/GO17_ABI05_20190201_0000_GLBG_h07v15_02.hdf,7,15
20190201_0000,h12v05,2019,32,0,0,/nex/datapool/geonex/public/GOES16/GEONEX-L1G/h12v05/2019/032/GO16_ABI05_20190201_0000_GLBG_h12v05_02.hdf,12,5,2019,32,0,0,/nex/datapool/geonex/public/GOES17/GEONEX-L1G/h12v05/2019/032/GO17_ABI05_20190201_0000_GLBG_h12v05_02.hdf,12,5
20190201_0000,h15v05,2019,32,0,0,/nex/datapool/geonex/public/GOES16/GEONEX-L1G/h15v05/2019/032/GO16_ABI05_20190201_0000_GLBG_h15v05_02.hdf,15,5,2019,32,0,0,/nex/datapool/geonex/public/GOES17/GEONEX-L1G/h15v05/2019/032/GO17_ABI05_20190201_0000_GLBG_h15v05_02.hdf,15,5
20190201_0000,h15v17,2019,32,0,0,/nex/datapool/geonex/public/GOES16/GEONEX-L1G/h15v17/2019/032/GO16_ABI05_20190201_0000_GLBG_h15v17_02.hdf,15,17,2019,32,0,0,/nex/datapool/geonex/public/GOES17/GEONEX-L1G/h15v17/2019/032/GO17_ABI05_20190201_0000_GLBG_h15v17_02.hdf,15,17
20190201_0000,h11v09,2019,32,0,0,/nex/datapool/geonex/public/GOES16/GEONEX-L1G/h11v09/2019/032/GO16_ABI05_20190201_0000_GLBG_h11v09_02.hdf,11,9,2019,32,0,0,/nex/datapool/geonex/public/GOES17/GEONEX-L1G/h11v09/2019/032/GO17_ABI05_20190201_0000_GLBG_h11v09_02.hdf,11,9
20190201_0000,h07v11,2019,32,0,0,/nex/datapool/geonex/public/GOES16/GEONEX-L1G/h07v11/2019/032/GO16_ABI05_20190201_0000_GLBG_h07v11_02.hdf,7,11,2019,32,0,0,/nex/datapool/geonex/public/GOES17/GEONEX-L1G/h07v11/2019/032/GO17_ABI05_20190201_0000_GLBG_h07v11_02.hdf,7,11
20190201_0000,h12v03,2019,32,0,0,/nex/datapool/geonex/public/GOES16/GEONEX-L1G/h12v03/2019/032/GO16_ABI05_20190201_0000_GLBG_h12v03_02.hdf,12,3,2019,32,0,0,/nex/datapool/geonex/public/GOES17/GEONEX-L1G/h12v03/2019/032/GO17_ABI05_20190201_0000_GLBG_h12v03_02.hdf,12,3
20190201_0000,h15v08,2019,32,0,0,/nex/datapool/geonex/public/GOES16/GEONEX-L1G/h15v08/2019/032/GO16_ABI05_20190201_0000_GLBG_h15v08_02.hdf,15,8,2019,32,0,0,/nex/datapool/geonex/public/GOES17/GEONEX-L1G/h15v08/2019/032/GO17_ABI05_20190201_0000_GLBG_h15v08_02.hdf,15,8
20190201_0000,h10v11,2019,32,0,0,/nex/datapool/geonex/public/GOES16/GEONEX-L1G/h10v11/2019/032/GO16_ABI05_20190201_0000_GLBG_h10v11_02.hdf,10,11,2019,32,0,0,/nex/datapool/geonex/public/GOES17/GEONEX-L1G/h10v11/2019/032/GO17_ABI05_20190201_0000_GLBG_h10v11_02.hdf,10,11
20190201_0000,h13v02,2019,32,0,0,/nex/datapool/geonex/public/GOES16/GEONEX-L1G/h13v02/2019/032/GO16_ABI05_20190201_0000_GLBG_h13v02_02.hdf,13,2,2019,32,0,0,/nex/datapool/geonex/public/GOES17/GEONEX-L1G/h13v02/2019/032/GO17_ABI05_20190201_0000_GLBG_h13v02_02.hdf,13,2
20190201_0000,h09v16,2019,32,0,0,/nex/datapool/geonex/public/GOES16/GEONEX-L1G/h09v16/2019/032/GO16_ABI05_20190201_0000_GLBG_h09v16_02.hdf,9,16,2019,32,0,0,/nex/datapool/geonex/public/GOES17/GEONEX-L1G/h09v16/2019/032/GO17_ABI05_20190201_0000_GLBG_h09v16_02.hdf,9,16
20190201_0000,h11v13,2019,32,0,0,/nex/datapool/geonex/public/GOES16/GEONEX-L1G/h11v13/2019/032/GO16_ABI05_20190201_0000_GLBG_h11v13_02.hdf,11,13,2019,32,0,0,/nex/datapool/geonex/public/GOES17/GEONEX-L1G/h11v13/2019/032/GO17_ABI05_20190201_0000_GLBG_h11v13_02.hdf,11,13
20190201_0000,h08v19,2019,32,0,0,/nex/datapool/geonex/public/GOES16/GEONEX-L1G/h08v19/2019/032/GO16_ABI05_20190201_0000_GLBG_h08v19_02.hdf,8,19,2019,32,0,0,/nex/datapool/geonex/public/GOES17/GEONEX-L1G/h08v19/2019/032/GO17_ABI05_20190201_0000_GLBG_h08v19_02.hdf,8,19
20190201_0000,h07v08,2019,32,0,0,/nex/datapool/geonex/public/GOES16/GEONEX-L1G/h07v08/2019/032/GO16_ABI05_20190201_0000_GLBG_h07v08_02.hdf,7,8,2019,32,0,0,/nex/datapool/geonex/public/GOES17/GEONEX-L1G/h07v08/2019/032/GO17_ABI05_20190201_0000_GLBG_h07v08_02.hdf,7,8
20190201_0000,h12v12,2019,32,0,0,/nex/datapool/geonex/public/GOES16/GEONEX-L1G/h12v12/2019/032/GO16_ABI05_20190201_0000_GLBG_h12v12_02.hdf,12,12,2019,32,0,0,/nex/datapool/geonex/public/GOES17/GEONEX-L1G/h12v12/2019/032/GO17_ABI05_20190201_0000_GLBG_h12v12_02.hdf,12,12
20190201_0000,h10v18,2019,32,0,0,/nex/datapool/geonex/public/GOES16/GEONEX-L1G/h10v18/2019/032/GO16_ABI05_20190201_0000_GLBG_h10v18_02.hdf,10,18,2019,32,0,0,/nex/datapool/geonex/public/GOES17/GEONEX-L1G/h10v18/2019/032/GO17_ABI05_20190201_0000_GLBG_h10v18_02.hdf,10,18
20190201_0000,h10v05,2019,32,0,0,/nex/datapool/geonex/public/GOES16/GEONEX-L1G/h10v05/2019/032/GO16_ABI05_20190201_0000_GLBG_h10v05_02.hdf,10,5,2019,32,0,0,/nex/datapool/geonex/public/GOES17/GEONEX-L1G/h10v05/2019/032/GO17_ABI05_20190201_0000_GLBG_h10v05_02.hdf,10,5
20190201_0000,h13v17,2019,32,0,0,/nex/datapool/geonex/public/GOES16/GEONEX-L1G/h13v17/2019/032/GO16_ABI05_20190201_0000_GLBG_h13v17_02.hdf,13,17,2019,32,0,0,/nex/datapool/geonex/public/GOES17/GEONEX-L1G/h13v17/2019/032/GO17_ABI05_20190201_0000_GLBG_h13v17_02.hdf,13,17
20190201_0000,h14v14,2019,32,0,0,/nex/datapool/geonex/public/GOES16/GEONEX-L1G/h14v14/2019/032/GO16_ABI05_20190201_0000_GLBG_h14v14_02.hdf,14,14,2019,32,0,0,/nex/datapool/geonex/public/GOES17/GEONEX-L1G/h14v14/2019/032/GO17_ABI05_20190201_0000_GLBG_h14v14_02.hdf,14,14
